Range(m) 532nmResult 355nmResult
3.7500 0.0001 0.0001
7.5000 0.0006 0.0012
11.2500 0.0093 0.0204
15.0000 0.0135 0.0227
18.7500 0.0132 0.0191
22.5000 0.0141 0.0199
26.2500 0.0152 0.0211
30.0000 0.0166 0.0230
33.7500 0.0183 0.0257
37.5000 0.0204 0.0295
41.2500 0.0219 0.0322
45.0000 0.0221 0.0315
48.7500 0.0244 0.0364
52.5000 0.0300 0.0504
56.2500 0.0378 0.0668
60.0000 0.0480 0.0853
63.7500 0.0601 0.1066
67.5000 0.0740 0.1305
71.2500 0.0898 0.1568
75.0000 0.1075 0.1851
78.7500 0.1270 0.2149
82.5000 0.1481 0.2456
86.2500 0.1706 0.2768
90.0000 0.1941 0.3081
93.7500 0.2187 0.3396
97.5000 0.2439 0.3708
101.2500 0.2698 0.4019
105.0000 0.2960 0.4325
108.7500 0.3225 0.4626
112.5000 0.3490 0.4918
116.2500 0.3754 0.5205
120.0000 0.4017 0.5482
123.7500 0.4277 0.5752
127.5000 0.4533 0.6012
131.2500 0.4783 0.6263
135.0000 0.5025 0.6503
138.7500 0.5260 0.6733
142.5000 0.5487 0.6951
146.2500 0.5710 0.7158
150.0000 0.5923 0.7355
153.7500 0.6130 0.7541
157.5000 0.6326 0.7716
161.2500 0.6513 0.7880
165.0000 0.6689 0.8032
168.7500 0.6856 0.8175
172.5000 0.7012 0.8311
176.2500 0.7158 0.8439
180.0000 0.7297 0.8559
183.7500 0.7424 0.8670
187.5000 0.7542 0.8774
191.2500 0.7651 0.8870
195.0000 0.7753 0.8959
198.7500 0.7848 0.9041
202.5000 0.7938 0.9126
206.2500 0.8022 0.9211
210.0000 0.8105 0.9296
213.7500 0.8188 0.9380
217.5000 0.8272 0.9460
221.2500 0.8356 0.9538
225.0000 0.8439 0.9615
228.7500 0.8519 0.9688
232.5000 0.8601 0.9755
236.2500 0.8683 0.9817
240.0000 0.8766 0.9876
243.7500 0.8847 0.9921
247.5000 0.8929 0.9957
251.2500 0.9004 0.9986
255.0000 0.9073 1.0000
258.7500 0.9137 1.0000
262.5000 0.9195 1.0000
266.2500 0.9250 1.0000
270.0000 0.9303 1.0000
273.7500 0.9351 1.0000
277.5000 0.9397 1.0000
281.2500 0.9442 1.0000
285.0000 0.9486 1.0000
288.7500 0.9527 1.0000
292.5000 0.9568 1.0000
296.2500 0.9609 1.0000
300.0000 0.9649 1.0000
303.7500 0.9688 1.0000
307.5000 0.9725 1.0000
311.2500 0.9760 1.0000
315.0000 0.9794 1.0000
318.7500 0.9823 1.0000
322.5000 0.9851 1.0000
326.2500 0.9877 1.0000
330.0000 0.9902 1.0000
333.7500 0.9924 1.0000
337.5000 0.9940 1.0000
341.2500 0.9950 1.0000
345.0000 0.9959 1.0000
348.7500 0.9966 1.0000
352.5000 0.9971 1.0000
356.2500 0.9971 1.0000
360.0000 0.9970 1.0000
363.7500 0.9966 1.0000
367.5000 0.9965 1.0000
371.2500 0.9966 1.0000
375.0000 0.9974 1.0000
378.7500 0.9992 1.0000
382.5000 0.9996 1.0000
386.2500 1.0000 1.0000
390.0000 1.0000 1.0000
