Range(m) Channel1 Channel2
15 0.002732052 0.002732052
30 0.00059278 0.000301671
45 0.000548614 0.000658846
60 0.000849136 0.00112872
75 0.001972633 0.002042316
90 0.003905855 0.003617551
105 0.006308545 0.006151236
120 0.009837236 0.009955229
135 0.014255298 0.015307306
150 0.019663474 0.022123715
165 0.025475856 0.031075389
180 0.031960202 0.041714862
195 0.039015897 0.054290492
210 0.045791346 0.068968654
225 0.054013409 0.08629607
240 0.063052832 0.105556204
255 0.072263104 0.126358134
270 0.081797914 0.148637025
285 0.091976647 0.171982772
300 0.102372381 0.199240414
315 0.114213657 0.228722358
330 0.124622508 0.260069088
345 0.133026223 0.292704383
360 0.141869632 0.32600039
375 0.151063591 0.35772163
390 0.159506628 0.390041598
405 0.169931988 0.422122565
420 0.181839663 0.450032786
435 0.192875462 0.474816596
450 0.202885565 0.500601303
465 0.212888308 0.534894787
480 0.22177827 0.561504944
495 0.23172085 0.592704552
510 0.242766948 0.616875917
525 0.255424129 0.637263729
540 0.26652263 0.654503184
555 0.278839653 0.672766323
570 0.292187084 0.685160879
585 0.304910381 0.698680556
600 0.31744262 0.699519902
615 0.328979756 0.70856104
630 0.340543054 0.714403483
645 0.355863233 0.718909655
660 0.366643821 0.733131288
675 0.374508583 0.736707435
690 0.387784182 0.745234572
705 0.40095114 0.753887601
720 0.408170848 0.753181114
735 0.420580356 0.76490536
750 0.435661424 0.771356807
765 0.446872368 0.777895873
780 0.457706448 0.783676126
795 0.46812925 0.781263162
810 0.478297551 0.793375697
825 0.490242951 0.80041606
840 0.502121761 0.798038095
855 0.514120616 0.803238853
870 0.516333855 0.800312066
885 0.522707466 0.807372232
900 0.539293626 0.804826167
915 0.547606933 0.813577608
930 0.551025075 0.812444991
945 0.567068132 0.814507009
960 0.567934941 0.817432365
975 0.568363638 0.824770138
990 0.587478097 0.833085185
1005 0.594065925 0.825584547
1020 0.590263623 0.829606187
1035 0.592575635 0.836888984
1050 0.602914832 0.830810653
1065 0.619135373 0.832111821
1080 0.625730333 0.831636517
1095 0.632369493 0.830724934
1110 0.642183321 0.827427069
1125 0.646770184 0.827244913
1140 0.653567257 0.837863317
1155 0.65755669 0.835804724
1170 0.659381014 0.83432049
1185 0.66547105 0.837063933
1200 0.679282736 0.844614687
1215 0.684473523 0.83742227
1230 0.688166633 0.840886358
1245 0.688237386 0.845910631
1260 0.689007661 0.855944481
1275 0.702260839 0.854421451
1290 0.71151197 0.84905987
1305 0.714635072 0.85503854
1320 0.722716651 0.850362893
1335 0.728542872 0.850020081
1350 0.73182396 0.848681453
1365 0.738715192 0.844063469
1380 0.738973405 0.85428563
1395 0.74727816 0.836288272
1410 0.752558853 0.83700063
1425 0.757271023 0.838344927
1440 0.764413616 0.849629429
1455 0.771811631 0.841920561
1470 0.775500995 0.85142853
1485 0.784051754 0.855644327
1500 0.789890907 0.860352468
1515 0.79592915 0.853644713
1530 0.802176698 0.855781656
1545 0.812254485 0.882491288
1560 0.820944239 0.869133913
1575 0.826355072 0.855709617
1590 0.836364085 0.86798113
