Range(m)	P	S	Raman
0   0       0       0
30	0.00141	0.00056225	0.000253
60	0.00632	0.00229	0.00693
90	0.01556	0.0051	0.01432
120	0.02992	0.00892	0.0232
150	0.05105	0.01311	0.037
180	0.08036	0.01688	0.05688
210	0.11705	0.02086	0.08491
240	0.15754	0.02722	0.1286
270	0.19851	0.03789	0.19518
300	0.24018	0.05361	0.28514
330	0.2818	0.07466	0.3696
360	0.3223	0.10115	0.45232
390	0.36098	0.1332	0.51826
420	0.39864	0.17058	0.56343
450	0.43418	0.21186	0.61283
480	0.4682	0.25536	0.65074
510	0.49955	0.29989	0.67316
540	0.52894	0.34363	0.71251
570	0.55513	0.38571	0.73189
600	0.57973	0.42476	0.74566
630	0.60194	0.46066	0.78156
660	0.62168	0.49287	0.79466
690	0.64002	0.52208	0.80781
720	0.65614	0.5475	0.82219
750	0.67156	0.57065	0.85019
780	0.68622	0.59103	0.84401
810	0.6985	0.60916	0.85788
840	0.71042	0.62598	0.87708
870	0.72173	0.64108	0.87376
900	0.73269	0.65424	0.87524
930	0.74245	0.66704	0.89024
960	0.75053	0.67823	0.90124
990	0.76104	0.68961	0.92849
1020	0.76668	0.69848	0.90555
1050	0.77382	0.70862	0.92658
1080	0.78003	0.71717	0.93301
1110	0.7891	0.72486	0.94018
1140	0.79435	0.73228	0.93887
1170	0.79991	0.74108	0.95123
1200	0.80642	0.74705	0.95898
1230	0.81093	0.75371	0.94798
1260	0.81798	0.75943	0.97018
1290	0.82188	0.7651	0.9776
1320	0.82525	0.76968	0.95804
1350	0.83368	0.77687	0.99011
1380	0.83779	0.78135	0.98309
1410	0.84179	0.78718	0.99003
1440	0.84443	0.79213	0.99213
1470	0.84832	0.7982	0.99726
1500	0.85335	0.79862	0.99877
1530	0.85879	0.80404	0.9998
1560	0.86113	0.8096	0.99716
1590	0.86268	0.81266	0.99994
1620	0.86869	0.8194	0.99929
1650	0.86996	0.82151	1.00924
1680	0.87525	0.82805	1.00354
1710	0.87702	0.82992	1
1740	0.87931	0.83313	1
1770	0.88194	0.83797	1
1800	0.88296	0.8389	1
1830	0.88681	0.8437	1
1860	0.89075	0.84738	1
1890	0.89077	0.85207	1
1920	0.89516	0.85455	1
1950	0.8983	0.85571	1
1980	0.90078	0.86135	1
2010	0.90608	0.86725	1
2040	0.90631	0.86615	1
2070	0.90822	0.86833	1
2100	0.90734	0.87309	1
2130	0.90984	0.87668	1
2160	0.91428	0.87602	1
2190	0.91467	0.8807	1
2220	0.9213	0.88469	1
2250	0.91893	0.88925	1
2280	0.92421	0.88997	1
2310	0.92199	0.89205	1
2340	0.9239	0.89018	1
2370	0.92712	0.8918	1
2400	0.93022	0.89792	1
2430	0.9342	0.90036	1
2460	0.9367	0.90321	1
2490	0.93557	0.90493	1
2520	0.9408	0.90953	1
2550	0.94368	0.90768	1
2580	0.93895	0.91285	1
2610	0.94716	0.91415	1
2640	0.94827	0.92164	1
2670	0.95326	0.91503	1
2700	0.95264	0.91678	1
2730	0.95505	0.9239	1
2760	0.96008	0.929	1
2790	0.96115	0.92384	1
2820	0.96057	0.9282	1
2850	0.95982	0.93856	1
2880	0.96918	0.93383	1
2910	0.95858	0.93732	1
2940	0.95862	0.94349	1
2970	0.96676	0.94845	1
3000	0.97486	0.94395	1
3030	0.97371	0.94382	1
3060	0.979	0.94075	1
3090	0.96736	0.9515	1
3120	0.96942	0.95321	1
3150	0.98469	0.94289	1
3180	0.97495	0.94949	1
3210	0.97873	0.94343	1
3240	0.97479	0.94733	1
3270	0.98671	0.95771	1
3300	0.98625	0.95846	1
3330	0.98085	0.95774	1
3360	0.98526	0.96012	1
3390	0.98457	0.968	1
3420	0.98638	0.96207	1
3450	0.99538	0.96324	1
3480	0.98446	0.97636	1
3510	0.99225	0.97184	1
3540	0.98104	0.97145	1
3570	0.98355	0.97623	1
3600	0.98361	0.97284	1
3630	0.98249	0.97851	1
3660	0.98844	0.97678	1
3690	0.98844	0.97724	1
3720	0.9929	0.98137	1
3750	0.98257	0.98986	1
3780	0.99197	0.99418	1
3810	0.99736	0.99818	1
3840	0.99339	1	1
